model,auc_roc,precision,recall,f1_score,loo_cv_f1_mean,loo_cv_f1_std,train_years,test_years,n_train,n_test,note
Logistic Regression (baseline),1.0,1.0,0.5,0.6667,0.7143,0.4518,2011–2019,2020–2024,9,5,Small sample (n=14). Indicative only.
XGBoost (advanced),0.5,0.4,1.0,0.5714,0.5,0.5,2010–2019,2020–2024,9,5,Small sample (n=14). Indicative only.
